,english,arabic
1987,"Having regard to Council Regulation (EEC) No 804/68 of 27 June 1968 on the common organization of the market in milk and milk products (1), as last amended by Commission Regulation (EC) No 2931/95 (2), and in particular Articles 7 (5) and 28 thereof,",هيئة الجماعات الأوروبية،
1988,"Whereas Commission Regulation (EEC) No 1362/87 of 18 May 1987 laying down detailed rules for the application of Council Regulation (EEC) No 777/87 with respect to the buying-in and the granting of aid for the private storage of skimmed-milk powder (11), as last amended by Regulation (EC) No 1137/94 (12), Commission Regulation (EEC) No 1158/91 of 3 May 1991 on the buying in by tender of skimmed-milk powder to intervention agencies (13), as last amended by Regulation (EC) No 1802/95, and Commission Regulation (EEC) No 1756/93 (14), as last amended by Regulation (EC) No 315/96 (15), make reference to Regulations (EEC) No 1014/68 and (EEC) No 625/78; whereas those references should be replaced by references to Regulation (EC) No 322/96; whereas, furthermore, Regulation (EEC) No 1158/91 should be amended to specify the way in which the buying-in price is to be calculated on the basis of the protein content of the skimmed-milk powder;",باعتبار لائحة المجلس رقم 3813/92 المؤرخة في 28 كانون الأول 1992 في وحدة الحساب ومعدلات التحويل ليتم تطبيقها لأغراض السياسة الزراعية المشتركة (3)، وفقا لآخر تعديل في اللائحة  رقم 150/95 (4)، وعلى وجه الخصوص المادة 6 (2) منها،
1989,HAS ADOPTED THIS REGULATION:,حيث فيما يتعلق بمخطط التخزين الخاص لمسحوق الحليب منزوع الدسم، تنص المادة 5 من اللائحة رقم 1362 /87 على أنه حيث يكون مسحوق الحليب منزوع الدسم مخصص للتصدير، مع عدم المساس بالقواعد التي تطبق بشكل طبيعي، يجوز للمقاول إزالته من التخزين بمجرد انتهاء فترة التعاقد ثلاثين يوما؛ وحيث أن هذا التقييد نادرا ما يستخدم ويقوم على تعقيد إدارة المخطط دون داع؛ وبالتالي يجب أن يلغى.
1990,(a) point (a) is replaced by the following:,المادة 1
1991,3. Article 5 is deleted.,(أ) تم تصنيعها في وحدة انتاج تتعهد بالحفاظ على أساس دائم السجلات المشار إليها في البند (ب) من المادة (2) (1) من اللائحة رقم 322 / 96.
1992,2. Article 3 (1) is replaced by the following:,المادة 2
1993,- if they undertake in writing to comply with Article 4 (6) of Regulation (EC) No 322/96.`,1. يجوز لمقدمي العطاءات الاشتراك في المناقصة فقط:
1994,4. Article 9 is replaced by the following:,3. يستبدل البند (ج) في الفقرة الفرعية الثانية من المادة 7 (1) بما يأتي:
1995,The buying-in price shall be calculated as follows:,المادة 9
1996,"d = tender price × [(0,356 - protein content) × 1,75].",إذا كان محتوى البروتين من المادة الجافة الخالية من الدسم 35،6٪ أو أكثر، يكون سعر شراء النصاب هو السعر المبين في العطاء.
1997,Article 3,يحدد محتوى البروتين باستخدام الطريقة المبينة في المرفق  1 من اللائحة التنظيمية  رقم 322 / 96.
1998,Article 4,يستبدل البند 1 من الجزء CI القسم ج والبند 3 من القسم د في مرفق اللائحة رقم 1756 -1793 بما يأتي:
1999,"THE COUNCIL OF THE EUROPEAN UNION,",يدخل هذا النظام يدخل حيز التنفيذ في اليوم التالي لتاريخ نشره في الجريدة الرسمية للجماعات الأوروبية.
2000,"Having regard to the opinion of the European Parliament (1),",باعتبار المعاهدة المؤسسة للجماعة الأوروبية، وخاصة المادة 235 منها،
2001,"Having regard to the Treaty establishing the European Community,",تضع لجنة التنظيم رقم 779/96 من 29 نيسان 1996 وضع القواعد التفصيلية لتطبيق لائحة المجلس رقم 1785-81 فيما يتعلق بالاتصالات في قطاع السكر
2002,"Whereas, if the situation with regard to sugar bought in or sold under the intervention measures provided for in Regulation (EEC) No 1785/81 is to be correctly assessed, relevant information must be available and in particular information on changes in the quantities held by intervention agencies and on the distribution of such quantities among warehouses approved pursuant to Article 1 (2) of Council Regulation (EEC) No 447/68 of 9 April 1968 laying down general rules for intervention buying of sugar (5), as last amended by Regulation (EEC) No 1359/77 (6); whereas, if a close watch is to be kept on the implementation of the intervention system, it is also essential that information should be regularly made available on the quantities of sugar rendered unfit for human consumption and on the quantities used for the manufacture of certain chemical products, with an indication of the quantities of sugar which have been either denatured in accordance with one of the processes set out in the Annex to Commission Regulation (EEC) No 100/72 of 14 January 1972 laying down detailed rules for the denaturing of sugar for animal feed (7), as last amended by Regulation (EC) No 260/96 (8), or used in the manufacture of the chemical products listed in the Annex to Council Regulation (EEC) No 1010/86 of 25 March 1986 laying down general rules for the production refund on certain sugar products used in the chemical industry (9), as last amended by Regulation (EC) No 1101/95, and those listed in the Annex to Commission Regulation (EEC) No 1729/78 of 24 July 1978 laying down detailed rules of application in respect of the production refund for sugar used in the chemical industry (10), as last amended by Regulation (EC) No 260/96;",باعتبار لائحة المجلس رقم 1785-81 المؤرخة في 30 حزيران 1981 بشأن تنظيم الأسواق المشتركة في قطاع السكر (1)، وفقا آخر تعديل في اللائحة رقم 1101-95 (2)، وخاصة المادة 39 منها،
2003,Whereas the persons concerned must have the assurance that the information on every undertaking will be treated as confidential;,يتخذ الرصد الدقيق للتجارة مع البلدان الأخرى هو السبيل الوحيد لمراقبة التطورات عن كثب في ضوء القيود الناشئة عن التزامات الجماعة بموجب الاتفاقية الزراعية المذكورة، التدابير اللازمة، حسب الاقتضاء،  ولا سيما في تطبيق المادة 23 (4 أ) من لائحة رقم 1785-81، وتلك الناشئة عن التزامات الجماعة بموجب اتفاقية السكر الدولية. لذلك، ينبغي أن تتلقى الهيئة على أساس منتظم المعلومات ذات الصلة ليس عن الواردات والصادرات من المنتجات التي تم تثبيت رسومها أو مبالغها المستردة، فيما يتعلق بالعمليات التي يجب أن تصدر بشأنها تراخيص العمليات لا سيما في إطار لائحة الهيئة الأوروبية رقم 1464/95 المؤرخة في 27 حزيران 1995 بشأن القواعد التفصيلية الخاصة بتطبيق نظام تراخيص الاستيراد والتصدير في قطاع السكر (11)، بصيغته المعدلة بموجب اللائحة رقم 2136/95 (12)، بالنظر إلى لائحة الهيئة الأكثر شمولية رقم 3719/88 (13)، وفقا آخر تعديل من قبل اللائحة رقم 2137/95 (14)، ولائحة الهيئة رقم /87 (15)، وفقا آخر تعديل في اللائحة رقم 1384-95 (16)، ولكن أيضا على الواردات والصادرات من المنتجات المصدرة دون مبالغ مستردة، مع أو بدون ترخيص، وعلى وجه الخصوص تلك ترتيبات التصنيع الداخلي المشمولة؛ في حين ينبغي أيضا رصد واردات السكر التفضيلية لضمان التنفيذ الفعال في لائحة الهيئة رقم 2782/76 المؤرخة في 17 تشرين الثاني 1976 وضع القواعد التنفيذية التفصيلية لاستيراد السكر التفضيلي (17)، وفقا آخر تعديل في لائحة الهيئة رقم 1714-88 (18)؛
2004,Article 1,حيث أن التدابير المنصوص عليها في هذا النظام هي وفقا لرأي اللجنة الإدارية للسكر،
2005,(b) the tel quel quantities of white sugar and raw sugar taken over by the intervention agency;,فيما يتعلق بتدابير التدخل المتخذة عملا بالمادتين 9 (1) و 11 (1) من اللائحة رقم 1785/81، تبلغ كل دولة عضو الهيئة في كل أسبوع  عن الأسبوع السابق عن ما يلي:
2006,"At the Commission's request each Member State shall supply it with a list of the tel quel quantities of white sugar and raw sugar taken over by the intervention agency, and their distribution among approved warehouses.",(ج) كميات السكر الأبيض والسكر الخام المباعة من قبل وكالة التدخل.
2007,"1. each week in respect of the preceding week, the tel quel quantities of white sugar and raw sugar for which a denaturing premium certificate has been issued;",المادة 3
2008,"With regard to intervention measures taken pursuant to Article 9 (3) of Regulation (EEC) No 1785/81, each Member State shall notify to the Commission:",2. تبلغ بناء على طلب الهيئة، فيما يتعلق بفترة معينة، عن كميات السكر الأبيض والسكر الخام الذي تم تلفه، مشيرة إلى العمليات المستخدمة المحددة في المرفق بلائحة رقم 100/72.
2009,(b) a production refund has been paid;,1. التبليغ في موعد لا يتجاوز نهاية كل شهر ميلادي عن الشهر السابق، كميات السكر الأبيض والسكر الخام والشراب على شكل سكر الأبيض والأيسوغلوكوز على شكل مادة جافة، الذي:
2010,(b) a production refund has been paid;,2. في موعد لا يتجاوز نهاية شهر أيلول من كل عام فيما يتعلق بالسنة التسويقة السابقة، كميات السكر الأبيض والسكر الخام والشراب بمحتوى السكر الأبيض والأيسوغلوكوز على شكل مادة جافة، موزعة بين المنتجات المدرجة في المرفق باللائحة رقم 1010/86 التي:
2011,"With regard to exports to third countries, each Member State shall notify to the Commission:",3. في موعد لا يتجاوز نهاية شهر أيلول من كل عام فيما يتعلق بالسنة التسويقية السابقة، كميات من المنتجات الأساسية المشار إليها في البند 2 والمستخدمة في تصنيع المنتجات الوسيطة المشار إليها في مرفق اللائحة رقم 1729 /78.
2012,"- white sugar falling within CN codes 1701 91 00, 1701 99 10 and 1701 99 90,",1. أسبوعيا عن الأسبوع السابق،
2013,"- isoglucose, expressed as dry matter, falling within CN codes 1702 40 10, 1702 60 10, 1702 90 30 and 2106 90 30,",كميات الخام التي تدخل في نطاق رموز CN ، 1701 11 90، 1701 12 90،
2014,"(c) the quantities of C white sugar, C raw sugar, C isoglucose and C inulin syrup, expressed as appropriate as white sugar, as dry matter or as dry matter equivalent sugar/isoglucose, for which an export licence has actually been issued;",شراب على شكل مادة جافة معادلة للسكر/ الأيسوغلوكوز  يقع ضمن رمز  CN  1702 60 90؛
2015,"3. for each calendar month, and not later than the end of the third calendar month following the calendar month in question:",(د) كميات مع المبالغ المقابلة من مستردات الصادرات الثابتة عملا بالبند (أ) من الفقرة 2 من المادة 17 (5) من اللائحة رقم 1785/81، من السكر الأبيض والسكر الخام وشراب السكروز من السكر الأبيض، وكميات من الأيسوغلوكوز على شكل مادة جافة، والتي تم بالفعل إصدار رخصة تصدير لها بهدف تصديها على شكل المنتجات المشار إليها في البند (ب) من المادة 1 (1) من اللائحة رقم 426/86 (29)؛
2016,"(c) in the case of the exports referred to in the second paragraph of Article 2a of Regulation (EEC) No 3665/87, the quantities of sugar and sucrose syrups, expressed as white sugar, and of isoglucose, expressed as dry matter, exported without further processing, together with the amounts of the corresponding refunds;",(أ) الكميات مع المبالغ المقابلة من مستردات الصادرات من السكر وشراب السكر الأبيض، المشار إليها في المادة 2 من اللائحة  رقم 1464/95 المصدرة دون معالجة ودون ترخيص ؛
2017,The notifications referred to in points (d) and (e) shall be supplied separately to the Commission for each Regulation applicable to the processed product in question.,(د) الكميات مع المبالغ المقابلة من مستردات الصادرات الثابتة عملا بالبند (أ) من الفقرة 2 من المادة 17 (5) من اللائحة رقم 1785/81، من السكر الأبيض والسكر الخام وشراب السكروز والأيسوغلوكوز على شكل مادة جافة، صدرت على شكل المنتجات المشار إليها في المرفق 1 من لائحة المجلس رقم 804/68 (30) وعلى شكل المنتجات المشار إليها في مرفق لائحة الهيئة رقم 1222/94 (31)؛
2018,"1. each week in respect of the previous week, the tel quel quantities of white sugar and raw sugar other than preferential sugar, or sugar syrups, of isoglucose and inulin syrup for which an import licence has actually been issued;",المادة 6
2019,(b) imported from or exported to other Member States either unprocessed or as processed products.,2. كل ثلاثة شهور وفي موعد لا يتجاوز نهاية الشهر الثالث بعد الربع المعني، كميات السكر الأبيض:
2020,"1. each week in respect of the previous week, of the quantities of white sugar and tel quel raw sugar for which an import or export licence has been issued pursuant to Article 10 of Regulation (EC) No 1464/95;",المادة 7
2021,"With regard to imports of preferential sugar, each Member State shall:",2. كل ثلاثة شهور وبشكل منفصل في موعد لا يتجاوز نهاية الشهر الثاني بعد الربع المعني، من كميات السكر المستورد من دول العالم الثالث والمصدرة كتعويض للمنتجات في إطار ترتيبات المعالجة الداخلية المحددة في المادة 116 من لائحة المجلس رقم 2913 /92 (32).
2022,(a) copies of the relevant EUR 1 movement certificates;,1. تبليغ الهيئة في موعد لا يتجاوز نهاية كل شهر ميلادي عن الشهر السابق عن كميات السكر، موزعة حسب دولة عضو المنشأ التي أصدرت التراخيص وفقا للائحة رقم 2782/76.
2023,"The documents referred to at (a) and (b) shall include, in addition to the information listed in Articles 6 and 7 of Regulation (EEC) No 2782/76, the degree of polarization, calculated to six decimal places, of each quantity imported;",(ب) نسخ من القسائم المشار إليها في المادة 7 (2) من اللائحة رقم 2782/76.
2024,"(b) the total tel quel quantity of raw sugar, in tonnes;",3. تبليغ الهيئة، في موعد لا يتجاوز نهاية شهر تشرين الأول من كل عام، عن قائمة موجزة للتراخيص والقسائم المشار إليها في المادتين 6 و 7 من اللائحة رقم 2782/76، والتي تبين:
2025,Article 9,(ج) كمية السكر الخام بالطن المعدة للاستهلاك المباشر؛
2026,"2. no later than the end of each calendar month in respect of the preceding calendar month, the isoglucose production, as determined in accordance with Article 3 (2) and (2a) of Regulation (EEC) No 1443/82, of every isoglucose-producing undertaking on its territory: the monthly quantities of isoglucose produced under inward processing arrangements shall be notified separately;",تبلغ كل دولة عضو الهيئة عن ما يلي:
2027,"During each calendar month in respect of the previous calendar month, each Member State shall notify to the Commission:",3. قبل 15 أيلول  من كل عام فيما يتعلق بكل إنتاج من السكر وبكل إنتاج من الأيسوغلوكوز وأي مشروع شراب من السكر يقع ضمن أراضيها وعن منتج السكر النهائي والأيسوغلوكوز وشراب فركتانز السكر، كما هو محدد وفقا للمادة 3 (3) من اللائحة رقم 1443/82  للسنة التسويقية السابقة.
2028,Article 11,(أ) كميات السكر والأيسوغلوكوز وشراب فركتانز السكر المطروحة للاستهلاك في أراضيها.
2029,Each Member State shall notify to the Commission:,مع عدم الإخلال بالفقرة الفرعية 2 من المادة 2 (1) من اللائحة رقم 2670/81، يجب على كل دولة عضو أن تبلغ الهيئة، قبل 15 آذار من كل عام فيما يتعلق بالسنة التسويقية السابقة، عن كميات السكر C، الأيسوغلوكوز وشراب الفركتوز بعد أن يتم التخلص منه في السوق الداخلية للجماعة وهذا ما تغطيه المادة 1 (1) من هذه اللائحة.
2030,However:,1. الكميات الإجمالية من سكر ب و ج، إن وجدت، قبل 15 من كل شهر بالنسبة للشهر السابق،عملا بالمادة 27 من اللائحة رقم 1785/81.
2031,Each Member State shall notify to the Commission:,يستبدل تاريخ 1 آذار بـ 15 نيسان فيما يتعلق بانتاج السكر  من البنجر الاسباني،
2032,(a) the quantities referred to in Article 4 (2) of Regulation (EEC) No 1358/77;,1. الموافقات المشار إليها في المادة 2 (1) (ج) و (د) من اللائحة رقم 1358/77، وعند الاقتضاء، الموافقات المنجزة بموجب المادة 1 من اللائحة رقم /78.
2033,Each Member State shall notify to the Commission:,(ب) الكميات المطروحة بالمعنى المقصود في المادة 12 (1) من اللائحة رقم 1998/78.
2034,Article 15,1. قبل 1 أيلول من كل عام فيما يتعلق بالسنة التسويقية السابقة وقبل 1 كانون الثاني من كل عام فيما يتعلق بسنة الإنتاج السابقة، وذلك باستخدام نموذج الاستمارة المبين في المرفق  2ب، والبيانات المتعلقة توازن توريد السكر والأيسوغلوكوز وشراب الفركتوز  للفترة المعنية.
2035,For the purposes of this Regulation:,تبلغ الدول الأعضاء الهيئة، عن كل شهر ميلادي وفي موعد لا يتجاوز نهاية الشهر الثالث الذي يلي الشهر المعني باستخدام النماذج في المرفقين 4 و 5، الإحصاءات بشأن التزامات الجماعة بموجب الاتفاق الدولي للسكر.
2036,(c) 'preceding production year` means the reference period from 1 October of one calendar year to 30 September of the following calendar year.,"يعني "" الأسبوع السابق"" الفترة المرجعية من يوم الخميس إلى يوم الأربعاء (أ) ؛"
2037,"Nevertheless, information contained in such notifications which relates to an individual undertaking, its technical installations and the nature and volume of its production, or information which would make it possible to reconstruct such facts, shall be restricted to those persons who, within the Commission, are responsible for the sugar sector. Such information shall not be disclosed to third parties.",المادة 17
2038,This Regulation shall enter into force on 1 July 1996.,المادة 18
2039,"THE COMMISSION OF THE EUROPEAN COMMUNITIES,",تكون هذه اللائحة ملزمة في مجملها وقابلة للتطبيق مباشرة في جميع الدول الأعضاء.
2040,"Whereas, by virtue of Article 5 (1) (b) of Regulation (EC) No 2494/95, each member State is required to produce a harmonized index of consumer prices (HICP) starting with the index for January 1997;",باعتبار المعاهدة المؤسسة للجماعة الأوروبية،
2041,Whereas implementing measures are necessary for ensuring comparability of HICPs in accordance with Article 5 (3) of Regulation (EC) No 2494/95;,حيث تستوجب المادة 9 من اللائحة رقم 2494/95 من الدول الأعضاء معالجة البيانات التي تم جمعها من أجل إنتاج HICP المشمول في فئات الاستهلاك الفردي حسب الغرض؛ يجب تكييف تلك الفئات.
2042,HAS ADOPTED THIS REGULATION:,حيث أن التدابير المنصوص عليها في هذه اللائحة هي وفقا لرأي لجنة البرنامج الإحصائي(SPC)، التي وضعها قرار المجلس رقم 89/382 (2)؛
2043,"The aim of this Regulation is to establish the sub-indices of the harmonized index of consumer prices (HICP) which each month shall be produced by the Member States, and transmitted to and disseminated by the Commission (Eurostat).",المادة 1
2044,"For the purpose of this Regulation, a 'sub-index of the HICP` is defined as a price index for any of the categories of expenditure listed in Annex I and illustrated in Annex II to this Regulation. These are based on the Coicop/HICP classification (classification of individual consumption by purpose adapted to the needs of HICPs) (3). 'Dissemination` refers to the release of data in any format.",المادة 2
2045,"Member States shall produce and transmit to the Commission (Eurostat) each month all sub-indices (Annex I) which have a weight accounting for more than one part in a thousand of the total expenditure covered by the HICP (4). Together with the index for January 1997 Member States shall also transmit to the Commission (Eurostat) corresponding weighting information, and thereafter whenever the weighting structure is changed.",المادة 3
2046,The Commission (Eurostat) shall disseminate sub-indices of the HICPs for the categories listed in Annex I to this Regulation taking 1996 = 100.,المادة 4
2047,"Member States shall provide the Commission (Eurostat), at its request, with information on the allocation of goods and services to the categories of expenditure of Annex I and II sufficient to evaluate compliance with this Regulation.",المادة 5
2048,This Regulation shall enter into force on the 20th day following its publication in the Official Journal of the European Communities.,المادة 6
2049,"Having regard to the Treaty establishing the European Community,",قرار الهيئة المؤرخ في 28 كانون الثاني 1997 بإنشاء نظام تعريف مواد التعبئة والتغليف وفقا للبرلمان الأوروبي وتوجيه المجلس رقم 94/62 في التعبئة ونفايات التغليف (نص ذو صلة بـ EEA)  (129/79)
2050,"Whereas the identification system will be periodically reviewed and, if necessary, revised in accordance with the procedure laid down in Article 21 of Directive 94/62/EC;",باعتبار البرلمان الأوروبي وتوجيه المجلس رقم 94/62 المؤرخ في 20 كانون الأول 1994 بشأن التعبئة والتغليف ونفاياتها (1)، وعلى وجه الخصوص المادة 8 (2) منه،
2051,Article 1,حيث أن التدابير المنصوص عليها في هذا القرار هي وفقا للرأي الصادر عن الهيئة، وقد وضعت وفقا للمادة 21 من التوجيه رقم 94/62،
2052,For the purposes of this Decision:,يهدف هذا القرار الذي يغطي نفايات التعبئة والتغليف المغطاة في التوجيه 94/62 إلى إنشاء ترقيم واختصارات يقوم عليها نظام التعريف الذي يدل على طبيعة مواد التعبئة والتغليف المستخدمة ويحدد المواد التي تخضع لنظام التعريف.
2053,Article 3,- تطبق نفس التعاريف الواردة في المادة 3 من التوجيه رقم 94 / 62 حيثما كان ذلك مناسبا،
2054,A decision whether to introduce on a binding basis the identification system for any material or materials may be adopted in accordance with the procedure laid down in Article 21 of Directive 94/62/EC.,الترقيم والاختصارات لنظام التعريف على النحو المنصوص عليه في المرفقات.
2055,"COMMISSION DECISION of 12 February 1997 defining the treatment of the income of undertakings for collective investment (UCIs) for the purpose of the implementation of Council Directive 89/130/EEC, Euratom on the harmonization of the compilation of gross national product at market prices (Text with EEA relevance) (97/157/EC, Euratom)",المادة 4
2056,"Having regard to the Treaty establishing the European Atomic Energy Community,",هيئة الجماعات الأوروبية،
2057,"Whereas the ESA second edition does not contain explicit provisions for the recording of the income of UCIs, in particular their undistributed income;",باعتبار توجيه المجلس رقم 89/130 ، يوراتوم المؤرخ في 13 شباط 1989 بشأن توحيد وتجميع الناتج القومي الإجمالي بأسعار السوق (1)،
2058,HAS ADOPTED THIS DECISION:,ولما كان ذلك من الضروري تفسير قواعد الطبعة الثانية من ESA، وفقا لهذه المبادئ الأساسية، وذلك للإشارة إلى طريقة تسجيل هذا الدخل؛
2059,"When distributed, this income is recorded in the Distribution of income account of the shareholders, within property and entrepreneurial income (Code R40 of the ESA, currently in force).",المادة 1
2060,This Decision is addressed to the Member States.,عندما لا يتم توزيع هذا الدخل، يجب أن يعامل هذا الدخل على أنه مدفوع من قبل الـ UCI لمساهميه، الذين يعيدون استثماره على الفور في UCI، وهذا يعني أنه يجب تسجيل هذا الدخل ضمن الممتلكات وضمن دخل المشاريع الرائدة كما هو الحال في الدخل الموزع. علاوة على ذلك، يتم تصنيف ذات المبلغ كجزء من الحصص، في الحساب المالي للمساهمين.
2061,"Having regard to the Treaty establishing the European Community,",قرار الهيئة المؤرخ في 17 شباط 1997 بشأن إجراءات التحقق من مطابقة مواد البناء عملا بالمادة 20 (2) من توجيه المجلس رقم 89/106  فيما يتعلق بمنتجات الأخشاب وملحقاتها (نص يتعلق بـ EEA) ((97 / 17
2062,"Whereas Article 13 (4) requires that the procedure thus determined must be indicated in the mandates and in the technical specifications; whereas, therefore, it is desirable to define the concept of products or family of products as used in the mandates and in the technical specifications;",باعتبار توجيه المجلس رقم 89/106 المؤرخ في 21 كانون الأول 1988 بشأن تقريب القوانين واللوائح والأحكام الإدارية للدول الأعضاء فيما يتعلق بمنتجات البناء (1)، بصيغته المعدلة في التوجيه رقم 93/68) (2)  وعلى وجه الخصوص المادة 13 (4) منه،
2063,"Whereas the measures provided for in this Decision are in accordance with the opinion of the Standing Committee on Construction,",حين تم وصف الإجراءين المنصوص عليهما في المادة (13) (3) بالتفصيل في المرفق 3 من التوجيه رقم 89/106، وفي حين أنه من الضروري تحديد أساليب تنفيذ الإجراءين ، بالإشارة إلى المرفق 3، لكل منتج أو مجموعة من المنتجات، حيث أن المرفق 3 يعطي الأفضلية لأنظمة معينة.
2064,The products and families of products set out in Annex I shall have their conformity attested by a procedure whereby the manufacturer has under its sole responsibility a factory production control system ensuring that the product in is conformity with the relevant technical specifications.,تم اعتماد هذا القرار:
2065,Article 3,المادة 2
2066,This Decision is addressed to the Member States.,يجب بيان إجراءات التحقق من المطابقة على النحو المذكور في المرفق 3 في توصيات المعايير المنسقة.
2067,"Having regard to the Treaty establishing the European Community,",قرار الهيئة المؤرخ في 2 تشرين الأول 1997 المعدل للقرار رقم 93/53 حول تشكيل لجنة علمية هيئة علمية تعيينات المنشأ والبيانات الجغرافية وشهادات الطابع الخاص (نص يتعلق بـ EEA) (97/656)
2068,Sole Article,حيث يجب تحديد الشروط التي يتوجب على أعضاء اللجنة الالتزام بها الاضطلاع بمسؤولياتهم ،
2069,'Members shall be appointed for a term of three years.`;,يتم تعجيل القرار رقم 93/53 / وفق ما يلي:
2070,3. Article 9 is replaced by the following:,2. يتم استبدال المادة (6) (2) بما يلي:
2071,"COMMISSION DECISION of 11 December 1997 repealing Commission Decision 97/613/EC and imposing special conditions on the import of pistachios and certain products derived from pistachios originating in, or consigned from Iran (Text with EEA relevance) (97/830/EC)",2. لا يجوز لأعضاء اللجنة استخدام المعلومات التي جاءت إلى علمهم بصفتهم أعضاء في اللجنة، لأغراض مهنية، سواء أثناء أو بعد انتهاء مدة ولايتهم،
2072,"Having regard to Council Directive 93/43/EEC of 14 June 1993 on the hygiene of foodstuffs (1) and in particular Article 10 (1) thereof,",هيئة الجماعات الأوروبية،
2073,"Whereas the Scientific Committee for Food has noted that Aflatoxin B1, even at extremely low doses, causes cancer of the liver and in addition is genotoxic;",يتم العمل بقرار الهيئة رقم 97/613  المؤرخ في 8 أيلول 1997 حول التعليق المؤقت لاستيراد الفستق وبعض المنتجات المشتقة من الفستق المرسلة من إيران (2) حتى 15 كانون الأول 1997، ويجب أن يلغى.
2074,"Whereas pistachios and products derived from pistachios originating in, or consigned from Iran, may be imported, provided that these special conditions are applied;",حيث يشكل تهديدا خطيرا على الصحة العامة داخل الجماعة، ولا بد من اتخاذ تدابير وقائية على مستوى الجماعة؛
2075,"Whereas, it is necessary to submit for analyses lots of pistachios originating in, or consigned from all third countries, in order to determine the levels of contamination of pistachios from all sources with Aflatoxin B1 and total Aflatoxin, whereas co-ordinated official control programmes for foodstuffs shall be completed to this end;",ولما كان من الضروري أن يتم إنتاج وفرز والتعامل مع ومعالجة وتعبئة ونقل الفستق والمنتجات المشتقة من الفستق بإتباع الممارسات الصحية الجيدة؛ في حين أنه من الضروري تحديد مستويات الأفلاتوكسين ب 1 والأفلاتوكسين الكلي من عينات أخذت من الشحنة مباشرة قبل مغادرة إيران؛
2076,Article 1,تم التشاور مع الدول الأعضاء في 29 تشرين الأول عام 1997، وفي 10 كانون الثاني عام 1997،
2077,1. Member States may import:,يلغي هذا القرار رقم 97/613  المؤرخ في 8 أيلول 1997 حول التعليق المؤقت لاستيراد الفستق والمنتجات المشتقة من الفستق المرسلة من إيران أو من منشأ إيراني.
2078,"originating in, or consigned from Iran, only where the consignment is accompanied by the results of official sampling and analysis, and the health certificate in Annex I, completed, signed and verified by a representative of the Iranian Ministry of Health.",الفستق المشمول برمز CN 0802 50 00،
2079,"4. The competent authorities in each Member State shall ensure that imported pistachios originating in, or consigned from Iran, are subject to documentary checks to ensure that the requirement for the health certificate and sampling results referred to in paragraph 1, are complied with.",2. يتم استيراد لاستيراد الفستق والمنتجات المشتقة من الفستق المرسلة من إيران أو من منشأ إيراني إلى الجماعة من خلال نقاط الدخول المدرجة في المرفق 2 فقط .
2080,"The present Decision shall be reviewed before the 31 October, 1998, in order to assess whether the special conditions referred to in Article 2 provide a sufficient level of protection to public health within the Community. The review shall also assess whether there is a continuing need for the special conditions.",5. تضمن السلطة المختصة قبل التصريح بطرح المنتجات المذكورة في أسواق الجماعة، أن يتم أخذ العينات بطريقة منهجية عند نقاط الدخول وتحليل الأفلاتوكسين ب 1 والأفلاتوكسين الكلي، وتبلغ الهيئة من قبل السلطة المختصة عن نتائج تلك التحليلات.
2081,Article 5,المادة 4
2082,"THE COMMISSION OF THE EUROPEAN COMMUNITIES,",يتم تبليغ هذا القرار إلى الدول الأعضاء.
2083,Whereas textile products may only be placed on the market within the Community if they satisfy the provisions of the said Directive;,باعتبار المعاهدة المؤسسة للجماعة الأوروبية،
2084,"Whereas the provisions of this Directive are in accordance with the opinion of the Committee for Directives relating to Textile Names and Labelling,",حيث ينص هذا التوجيه حول أسماء النسيج على وضع العلامات أو التسميات التي تشير إلى اسم ألياف النسيج في المنتجات، لضمان مصالح المستهلكين وتزويدهم بالمعلومات الصحيحة؛
2085,Annex I to Directive 96/74/EC is hereby amended as follows:,تم اعتماد هذا التوجيه:
2086,"- in the column 'Fibre description`, the words 'cashgora goat` (a cross between the kashmir goat and the angora goat) are added after the word 'guanaco`.",1. تم تعديل رقم 2 على النحو التالي:
2087,3. Nos 31 to 41 now read 34 to 44.,2. تم تعديل رقم  على النحو التالي 30:
2088,5. A new No 32 is added:,4. يتم إضافة رقم 31 جديد:
2089,"'A regenerated cellulose fibre obtained by dissolution, and an organic solvent spinning process, without formation of derivatives`,","- النص في عمود ""الاسم"" ويقرأ ""متعددات الأميد الطبيعية""،"
2090,'A regenerated cellulose fibre obtained by a modified viscose process having a high breaking force and high wet modulus. The breaking force (BC) in the conditioned state and the force (BM) required to produce an elongation of 5 % in the wet state are:,"- يتم إضافة إشارة إلى الحاشية بعد النص في عمود ""الاسم"". يقرأ في الحاشية ما يلي:"
2091,1. Nos 31 to 41 read 34 to 44,المادة 2
2092,>TABLE>,2. يتم إضافة رقم 31 جديد:
2093,>TABLE>,3. يتم إضافة رقم 32 جديد:
2094,>TABLE>,4. يتم إضافة رقم 33 جديد:
2095,They shall immediately inform the Commission thereof.,المادة 3
2096,Article 4,يتم تضمين الأحكام المعتمدة من قبل الدول الأعضاء بإشارة إلى هذا التوجيه، أو ترفق مثل هذه الإشارة عند النشر الرسمي لتلك الأحكام، وتعتمد إجراءات مثل تلك الإشارة من قبل الدول الأعضاء.
2097,"THE EUROPEAN PARLIAMENT AND THE COUNCIL OF THE EUROPEAN UNION,",يتم  تبليغ هذا التوجيه إلى الدول الأعضاء.
